Time,Date,TotalVertices,TotalEdges,Density
1470783600000,09/08/2016 23:00:00,0,0,0
1470787200000,10/08/2016 00:00:00,0,0,0
1470790800000,10/08/2016 01:00:00,0,0,0
1470794400000,10/08/2016 02:00:00,0,0,0
1470798000000,10/08/2016 03:00:00,0,0,0
1470801600000,10/08/2016 04:00:00,1,0,0
1470805200000,10/08/2016 05:00:00,4,0,0
1470808800000,10/08/2016 06:00:00,0,0,0
1470812400000,10/08/2016 07:00:00,0,0,0
1470816000000,10/08/2016 08:00:00,1,0,0
1470819600000,10/08/2016 09:00:00,3,0,0
1470823200000,10/08/2016 10:00:00,0,0,0
1470826800000,10/08/2016 11:00:00,0,0,0
1470830400000,10/08/2016 12:00:00,0,0,0
1470834000000,10/08/2016 13:00:00,0,0,0
1470837600000,10/08/2016 14:00:00,2,2,1
1470841200000,10/08/2016 15:00:00,6,4,0.13333334028720855712890625
1470844800000,10/08/2016 16:00:00,4,2,0.16666667163372039794921875
1470848400000,10/08/2016 17:00:00,1,0,0
1470852000000,10/08/2016 18:00:00,1,0,0
1470855600000,10/08/2016 19:00:00,0,0,0
1470859200000,10/08/2016 20:00:00,1,0,0
1470862800000,10/08/2016 21:00:00,2,0,0
1470866400000,10/08/2016 22:00:00,8,4,0.071428574621677398681640625
1470870000000,10/08/2016 23:00:00,0,0,0
1470873600000,11/08/2016 00:00:00,0,0,0
1470877200000,11/08/2016 01:00:00,0,0,0
1470880800000,11/08/2016 02:00:00,1,0,0
1470884400000,11/08/2016 03:00:00,0,0,0
1470888000000,11/08/2016 04:00:00,1,0,0
1470891600000,11/08/2016 05:00:00,0,0,0
1470895200000,11/08/2016 06:00:00,0,0,0
1470898800000,11/08/2016 07:00:00,0,0,0
1470902400000,11/08/2016 08:00:00,4,2,0.16666667163372039794921875
1470906000000,11/08/2016 09:00:00,0,0,0
1470909600000,11/08/2016 10:00:00,0,0,0
1470913200000,11/08/2016 11:00:00,1,0,0
1470916800000,11/08/2016 12:00:00,0,0,0
1470920400000,11/08/2016 13:00:00,1,0,0
1470924000000,11/08/2016 14:00:00,3,0,0
1470927600000,11/08/2016 15:00:00,3,0,0
1470931200000,11/08/2016 16:00:00,1,0,0
1470934800000,11/08/2016 17:00:00,0,0,0
1470938400000,11/08/2016 18:00:00,0,0,0
1470942000000,11/08/2016 19:00:00,0,0,0
1470945600000,11/08/2016 20:00:00,0,0,0
1470949200000,11/08/2016 21:00:00,0,0,0
1470952800000,11/08/2016 22:00:00,1,0,0
1470956400000,11/08/2016 23:00:00,3,0,0
1470960000000,12/08/2016 00:00:00,2,0,0
1470963600000,12/08/2016 01:00:00,0,0,0
1470967200000,12/08/2016 02:00:00,6,4,0.13333334028720855712890625
1470970800000,12/08/2016 03:00:00,0,0,0
1470974400000,12/08/2016 04:00:00,0,0,0
1470978000000,12/08/2016 05:00:00,0,0,0
1470981600000,12/08/2016 06:00:00,0,0,0
1470985200000,12/08/2016 07:00:00,0,0,0
1470988800000,12/08/2016 08:00:00,0,0,0
1470992400000,12/08/2016 09:00:00,1,0,0
1470996000000,12/08/2016 10:00:00,0,0,0
1470999600000,12/08/2016 11:00:00,0,0,0
1471003200000,12/08/2016 12:00:00,1,0,0
1471006800000,12/08/2016 13:00:00,0,0,0
1471010400000,12/08/2016 14:00:00,0,0,0
1471014000000,12/08/2016 15:00:00,0,0,0
1471017600000,12/08/2016 16:00:00,0,0,0
1471021200000,12/08/2016 17:00:00,0,0,0
1471024800000,12/08/2016 18:00:00,0,0,0
1471028400000,12/08/2016 19:00:00,1,0,0
1471032000000,12/08/2016 20:00:00,1,0,0
1471035600000,12/08/2016 21:00:00,0,0,0
1471039200000,12/08/2016 22:00:00,2,0,0
1471042800000,12/08/2016 23:00:00,0,0,0
1471046400000,13/08/2016 00:00:00,0,0,0
1471050000000,13/08/2016 01:00:00,0,0,0
1471053600000,13/08/2016 02:00:00,0,0,0
1471057200000,13/08/2016 03:00:00,1,0,0
1471060800000,13/08/2016 04:00:00,0,0,0
1471064400000,13/08/2016 05:00:00,0,0,0
1471068000000,13/08/2016 06:00:00,0,0,0
1471071600000,13/08/2016 07:00:00,0,0,0
1471075200000,13/08/2016 08:00:00,0,0,0
1471078800000,13/08/2016 09:00:00,0,0,0
1471082400000,13/08/2016 10:00:00,0,0,0
1471086000000,13/08/2016 11:00:00,0,0,0
1471089600000,13/08/2016 12:00:00,0,0,0
1471093200000,13/08/2016 13:00:00,0,0,0
1471096800000,13/08/2016 14:00:00,2,0,0
1471100400000,13/08/2016 15:00:00,0,0,0
1471104000000,13/08/2016 16:00:00,2,2,1
1471107600000,13/08/2016 17:00:00,2,0,0
1471111200000,13/08/2016 18:00:00,0,0,0
1471114800000,13/08/2016 19:00:00,0,0,0
1471118400000,13/08/2016 20:00:00,0,0,0
1471122000000,13/08/2016 21:00:00,2,2,1
1471125600000,13/08/2016 22:00:00,1,0,0
1471129200000,13/08/2016 23:00:00,0,0,0
1471132800000,14/08/2016 00:00:00,6,4,0.13333334028720855712890625
1471136400000,14/08/2016 01:00:00,0,0,0
1471140000000,14/08/2016 02:00:00,1,0,0
1471143600000,14/08/2016 03:00:00,0,0,0
1471147200000,14/08/2016 04:00:00,0,0,0
1471150800000,14/08/2016 05:00:00,0,0,0
1471154400000,14/08/2016 06:00:00,0,0,0
1471158000000,14/08/2016 07:00:00,0,0,0
1471161600000,14/08/2016 08:00:00,0,0,0
1471165200000,14/08/2016 09:00:00,2,2,1
1471168800000,14/08/2016 10:00:00,0,0,0
1471172400000,14/08/2016 11:00:00,0,0,0
1471176000000,14/08/2016 12:00:00,1,0,0
1471179600000,14/08/2016 13:00:00,0,0,0
1471183200000,14/08/2016 14:00:00,2,2,1
1471186800000,14/08/2016 15:00:00,1,0,0
1471190400000,14/08/2016 16:00:00,1,0,0
1471194000000,14/08/2016 17:00:00,2,0,0
1471197600000,14/08/2016 18:00:00,6,4,0.13333334028720855712890625
1471201200000,14/08/2016 19:00:00,8,8,0.14285714924335479736328125
1471204800000,14/08/2016 20:00:00,0,0,0
1471208400000,14/08/2016 21:00:00,0,0,0
1471212000000,14/08/2016 22:00:00,2,2,1
1471215600000,14/08/2016 23:00:00,3,2,0.3333333432674407958984375
1471219200000,15/08/2016 00:00:00,8,6,0.107142858207225799560546875
1471222800000,15/08/2016 01:00:00,2,0,0
1471226400000,15/08/2016 02:00:00,2,0,0
1471230000000,15/08/2016 03:00:00,5,0,0
1471233600000,15/08/2016 04:00:00,3,2,0.3333333432674407958984375
1471237200000,15/08/2016 05:00:00,0,0,0
1471240800000,15/08/2016 06:00:00,0,0,0
1471244400000,15/08/2016 07:00:00,1,0,0
1471248000000,15/08/2016 08:00:00,0,0,0
1471251600000,15/08/2016 09:00:00,3,2,0.3333333432674407958984375
1471255200000,15/08/2016 10:00:00,0,0,0
1471258800000,15/08/2016 11:00:00,0,0,0
1471262400000,15/08/2016 12:00:00,0,0,0
1471266000000,15/08/2016 13:00:00,1,0,0
1471269600000,15/08/2016 14:00:00,0,0,0
1471273200000,15/08/2016 15:00:00,1,0,0
1471276800000,15/08/2016 16:00:00,0,0,0
1471280400000,15/08/2016 17:00:00,0,0,0
1471284000000,15/08/2016 18:00:00,1,0,0
1471287600000,15/08/2016 19:00:00,4,0,0
1471291200000,15/08/2016 20:00:00,6,0,0
1471294800000,15/08/2016 21:00:00,7,2,0.0476190485060214996337890625
1471298400000,15/08/2016 22:00:00,21,8,0.01904761977493762969970703125
1471302000000,15/08/2016 23:00:00,46,22,0.010628019459545612335205078125
1471305600000,16/08/2016 00:00:00,47,14,0.006475485861301422119140625
1471309200000,16/08/2016 01:00:00,78,58,0.009657009504735469818115234375
1471312800000,16/08/2016 02:00:00,55,28,0.009427609853446483612060546875
1471316400000,16/08/2016 03:00:00,19,14,0.040935672819614410400390625
1471320000000,16/08/2016 04:00:00,14,8,0.0439560450613498687744140625
1471323600000,16/08/2016 05:00:00,17,8,0.02941176481544971466064453125
1471327200000,16/08/2016 06:00:00,21,28,0.066666670143604278564453125
1471330800000,16/08/2016 07:00:00,10,6,0.066666670143604278564453125
1471334400000,16/08/2016 08:00:00,5,4,0.20000000298023223876953125
1471338000000,16/08/2016 09:00:00,7,2,0.0476190485060214996337890625
1471341600000,16/08/2016 10:00:00,10,6,0.066666670143604278564453125
1471345200000,16/08/2016 11:00:00,5,4,0.20000000298023223876953125
1471348800000,16/08/2016 12:00:00,7,6,0.14285714924335479736328125
1471352400000,16/08/2016 13:00:00,14,4,0.02197802253067493438720703125
1471356000000,16/08/2016 14:00:00,17,10,0.0367647074162960052490234375
1471359600000,16/08/2016 15:00:00,19,8,0.0233918130397796630859375
1471363200000,16/08/2016 16:00:00,34,28,0.02495543658733367919921875
1471366800000,16/08/2016 17:00:00,67,48,0.010854816995561122894287109375
1471370400000,16/08/2016 18:00:00,85,60,0.008403361774981021881103515625
1471374000000,16/08/2016 19:00:00,99,92,0.0094825811684131622314453125
1471377600000,16/08/2016 20:00:00,82,76,0.011442336253821849822998046875
1471381200000,16/08/2016 21:00:00,69,36,0.0076726344414055347442626953125
1471384800000,16/08/2016 22:00:00,59,46,0.013442431576550006866455078125
1471388400000,16/08/2016 23:00:00,66,56,0.01305361278355121612548828125
1471392000000,17/08/2016 00:00:00,55,36,0.0121212117373943328857421875
1471395600000,17/08/2016 01:00:00,40,30,0.01923076994717121124267578125
1471399200000,17/08/2016 02:00:00,95,104,0.01164613664150238037109375
1471402800000,17/08/2016 03:00:00,43,38,0.02104097418487071990966796875
1471406400000,17/08/2016 04:00:00,9,6,0.083333335816860198974609375
1471410000000,17/08/2016 05:00:00,12,8,0.060606062412261962890625
1471413600000,17/08/2016 06:00:00,11,10,0.0909090936183929443359375
1471417200000,17/08/2016 07:00:00,0,0,0
1471420800000,17/08/2016 08:00:00,4,2,0.16666667163372039794921875
1471424400000,17/08/2016 09:00:00,8,2,0.0357142873108386993408203125
1471428000000,17/08/2016 10:00:00,13,2,0.012820512987673282623291015625
1471431600000,17/08/2016 11:00:00,21,16,0.0380952395498752593994140625
1471435200000,17/08/2016 12:00:00,38,26,0.01849217712879180908203125
1471438800000,17/08/2016 13:00:00,48,42,0.01861702091991901397705078125
1471442400000,17/08/2016 14:00:00,92,100,0.01194457709789276123046875
1471446000000,17/08/2016 15:00:00,63,28,0.00716845877468585968017578125
1471449600000,17/08/2016 16:00:00,37,40,0.0300300307571887969970703125
1471453200000,17/08/2016 17:00:00,29,26,0.0320197045803070068359375
1471456800000,17/08/2016 18:00:00,27,18,0.02564102597534656524658203125
1471460400000,17/08/2016 19:00:00,42,30,0.01742160320281982421875
1471464000000,17/08/2016 20:00:00,45,28,0.0141414143145084381103515625
1471467600000,17/08/2016 21:00:00,40,22,0.014102564193308353424072265625
1471471200000,17/08/2016 22:00:00,42,10,0.0058072009123861789703369140625
1471474800000,17/08/2016 23:00:00,58,32,0.009679370559751987457275390625
1471478400000,18/08/2016 00:00:00,62,58,0.015335801057517528533935546875
1471482000000,18/08/2016 01:00:00,97,64,0.006872852332890033721923828125
1471485600000,18/08/2016 02:00:00,61,52,0.0142076499760150909423828125
1471489200000,18/08/2016 03:00:00,64,54,0.013392857275903224945068359375
1471492800000,18/08/2016 04:00:00,39,38,0.02564102597534656524658203125
1471496400000,18/08/2016 05:00:00,57,56,0.017543859779834747314453125
1471500000000,18/08/2016 06:00:00,58,48,0.01451905630528926849365234375
1471503600000,18/08/2016 07:00:00,27,24,0.0341880358755588531494140625
1471507200000,18/08/2016 08:00:00,12,10,0.07575757801532745361328125
1471510800000,18/08/2016 09:00:00,5,0,0
1471514400000,18/08/2016 10:00:00,13,4,0.02564102597534656524658203125
1471518000000,18/08/2016 11:00:00,38,52,0.0369843542575836181640625
1471521600000,18/08/2016 12:00:00,51,36,0.0141176469624042510986328125
1471525200000,18/08/2016 13:00:00,38,18,0.012802275829017162322998046875
1471528800000,18/08/2016 14:00:00,75,36,0.0064864866435527801513671875
1471532400000,18/08/2016 15:00:00,50,48,0.01959183625876903533935546875
1471536000000,18/08/2016 16:00:00,62,56,0.01480698026716709136962890625
1471539600000,18/08/2016 17:00:00,50,40,0.01632652990520000457763671875
1471543200000,18/08/2016 18:00:00,51,28,0.01098039187490940093994140625
1471546800000,18/08/2016 19:00:00,52,42,0.01583710499107837677001953125
1471550400000,18/08/2016 20:00:00,54,44,0.015373864211142063140869140625
1471554000000,18/08/2016 21:00:00,50,26,0.010612244717776775360107421875
1471557600000,18/08/2016 22:00:00,60,42,0.01186440698802471160888671875
1471561200000,18/08/2016 23:00:00,72,58,0.011345853097736835479736328125
1471564800000,19/08/2016 00:00:00,89,80,0.010214504785835742950439453125
1471568400000,19/08/2016 01:00:00,76,66,0.0115789473056793212890625
1471572000000,19/08/2016 02:00:00,45,46,0.02323232404887676239013671875
1471575600000,19/08/2016 03:00:00,69,84,0.017902813851833343505859375
1471579200000,19/08/2016 04:00:00,59,62,0.01811805926263332366943359375
1471582800000,19/08/2016 05:00:00,25,10,0.01666666753590106964111328125
1471586400000,19/08/2016 06:00:00,18,12,0.0392156876623630523681640625
1471590000000,19/08/2016 07:00:00,10,6,0.066666670143604278564453125
1471593600000,19/08/2016 08:00:00,6,4,0.13333334028720855712890625
